Pelajaran Favorit,Minat Utama,Keterampilan Unggulan,Lingkungan Kerja,Tipe Kepribadian,Gaya Belajar,Fakultas
Kimia,Bisnis,Kreativitas,Kantor,Ekstrovert,Visual,SITH
Biologi,Kesehatan,Teknis,Remote,Introvert,Visual,FTI
Matematika,Seni,Komunikasi,Lapangan,Introvert,Visual,FSRD
Matematika,Bisnis,Teknis,Kantor,Introvert,Auditori,FITB
Kimia,Seni,Pemecahan masalah,Remote,Ekstrovert,Auditori,FMIPA
Matematika,Teknik,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FITB
Fisika,Teknik,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FMIPA
Fisika,Teknik,Kreativitas,Lapangan,Introvert,Visual,FTMD
Biologi,Bisnis,Teknis,Remote,Ekstrovert,Auditori,FSRD
Matematika,Teknologi,Teknis,Kantor,Ekstrovert,Visual,SITH
Matematika,Kesehatan,Analitis,Kantor,Introvert,Auditori,FMIPA
Biologi,Seni,Teknis,Remote,Ekstrovert,Auditori,FSRD
Kimia,Kesehatan,Kreativitas,Lapangan,Introvert,Kinestetik,FMIPA
Kimia,Bisnis,Analitis,Kantor,Ekstrovert,Kinestetik,SF
Seni Budaya,Sains,Pemecahan masalah,Lapangan,Introvert,Auditori,SAPPK
Seni Budaya,Kesehatan,Analitis,Lapangan,Introvert,Kinestetik,FTMD
Matematika,Sains,Pemecahan masalah,Remote,Ekstrovert,Auditori,SBM
Biologi,Sains,Pemecahan masalah,Kantor,Introvert,Visual,STEI
Biologi,Sains,Teknis,Remote,Ekstrovert,Visual,SITH
Matematika,Teknik,Analitis,Kantor,Ekstrovert,Kinestetik,FTSL
Kimia,Kesehatan,Analitis,Kantor,Introvert,Visual,FMIPA
Matematika,Seni,Analitis,Remote,Ekstrovert,Visual,SBM
Matematika,Teknik,Teknis,Remote,Ekstrovert,Visual,SAPPK
Biologi,Bisnis,Teknis,Remote,Introvert,Visual,SF
Seni Budaya,Bisnis,Komunikasi,Kantor,Ekstrovert,Auditori,FTI
Fisika,Seni,Komunikasi,Remote,Ekstrovert,Kinestetik,SBM
Matematika,Teknologi,Pemecahan masalah,Lapangan,Introvert,Visual,FTI
Biologi,Teknik,Analitis,Remote,Ekstrovert,Visual,SBM
Matematika,Teknologi,Teknis,Lapangan,Introvert,Visual,FTMD
Seni Budaya,Kesehatan,Komunikasi,Kantor,Ekstrovert,Auditori,FMIPA
Fisika,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SITH
Kimia,Seni,Analitis,Lapangan,Introvert,Kinestetik,SAPPK
Kimia,Bisnis,Analitis,Kantor,Ekstrovert,Visual,FSRD
Fisika,Bisnis,Teknis,Remote,Introvert,Visual,FSRD
Kimia,Kesehatan,Kreativitas,Kantor,Introvert,Visual,FSRD
Biologi,Sains,Kreativitas,Kantor,Ekstrovert,Visual,FTMD
Matematika,Kesehatan,Komunikasi,Lapangan,Ekstrovert,Kinestetik,SITH
Seni Budaya,Kesehatan,Analitis,Lapangan,Introvert,Kinestetik,FTSL
Biologi,Kesehatan,Kreativitas,Remote,Ekstrovert,Visual,STEI
Fisika,Bisnis,Komunikasi,Lapangan,Introvert,Kinestetik,FTTM
Matematika,Seni,Analitis,Lapangan,Introvert,Visual,SF
Biologi,Teknologi,Kreativitas,Lapangan,Introvert,Kinestetik,FTMD
Kimia,Seni,Kreativitas,Lapangan,Introvert,Kinestetik,FTSL
Kimia,Bisnis,Pemecahan masalah,Kantor,Introvert,Kinestetik,FTI
Matematika,Teknologi,Kreativitas,Remote,Ekstrovert,Auditori,SBM
Fisika,Bisnis,Pemecahan masalah,Remote,Introvert,Auditori,SBM
Fisika,Teknik,Analitis,Remote,Ekstrovert,Kinestetik,FTMD
Biologi,Bisnis,Analitis,Lapangan,Introvert,Auditori,FITB
Fisika,Sains,Analitis,Kantor,Introvert,Auditori,SBM
Kimia,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FTTM
Biologi,Teknik,Komunikasi,Lapangan,Ekstrovert,Auditori,SAPPK
Fisika,Teknologi,Analitis,Remote,Introvert,Visual,FTSL
Fisika,Teknologi,Teknis,Remote,Ekstrovert,Visual,FTSL
Matematika,Teknik,Analitis,Lapangan,Ekstrovert,Auditori,SBM
Seni Budaya,Teknologi,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FTSL
Fisika,Teknologi,Teknis,Remote,Introvert,Kinestetik,SITH
Biologi,Teknik,Analitis,Lapangan,Introvert,Auditori,SITH
Matematika,Teknologi,Teknis,Lapangan,Ekstrovert,Visual,STEI
Fisika,Bisnis,Kreativitas,Remote,Introvert,Auditori,FSRD
Biologi,Bisnis,Kreativitas,Remote,Introvert,Auditori,SBM
